<DATE>,LKOH,IMOEX,SBER,SBERP,RTKM,SNGSP,SNGS,RTKMP,GMKN,MSNG,TRNFP,AFLT,SIBN,TATN,TATNP,MTSS,CHMF,GAZP,PLZL,MGNT,ROSN,NVTK,AKRN,NLMK,MAGN,ENRU,RASP,OGKB,PIKK,TRMK,VTBR,URKA,MVID,AFKS,LSRG,HYDR,FEES,IRAO
20160104,-1.52180399846542,-1.52155152836444,-3.20955954967411,-3.4248366013072,-2.26394257316399,-1.20972300734879,0.220750551876367,-1.59304851556842,-2.49180327868852,0.244200244200244,-1.1340206185567,0.178253119429593,-0.617083468658648,-3.32178841309824,0.703164239075844,-0.738095238095243,-1.98523379819525,-0.867073260342425,-0.521739130434783,1.22907018168864,-0.888450148075025,-3.38409475465313,3.49298756284731,-1.7891373801917,-0.29139072847682,0.280112044817927,-0.567233900567228,2.37668161434978,-1.59817351598174,-1.15606936416184,-3.14930991217064,-1.10169491525423,0.707635009310978,-0.0566572237960227,3.7147102526003,-2.70986745213551,0.471380471380464,11.1663652802893
20160105,3.02138343000607,1.1282400147588,0.897867564534227,0.473741201949118,-1.6723163841808,0.480659189745939,0.396475770925125,-0.662251655629143,1.8269446312486,4.08038976857492,1.45985401459854,-3.11387900355872,0.915032679738566,2.26347500407099,-0.249376558603491,1.10338210602063,2.57783729494476,1.141501741902,0.874125874125874,-0.140770719690304,0.876494023904378,0.455341506129601,0.460240347737152,-1.18737800910865,0.690754516471833,2.51396648044693,-1.2751677852349,5.562855891371,-1.06728538283063,-1.4202172096909,-2.42259360020728,0.285632676378178,1.14644970414202,2.66439909297051,2.79369627507163,3.70874962155617,2.37935656836462,11.2647417649451
20160106,-0.0840336134453782,-0.31696624537521,-2.06289816968349,-2.16893439310252,1.6892668352103,-0.683371298405461,-0.526546731022377,0.962962962962971,-1.04567969179967,-0.643651258045648,2.26104830421377,-0.734618916437109,0.0971502590673612,0.636942675159236,-0.75,-0.355871886120996,4.40600522193212,-0.373763283253933,0.173310225303293,-0.26431718061674,-0.315955766192726,-0.976290097629014,0.0254517688979384,0,1.68865435356201,0.136239782016349,0.849762066621346,-1.74273858921161,-0.328330206378982,1.69491525423729,-0.199150292087092,1.39561378524636,0.511882998171838,-0.0828271673108811,2.02090592334495,-1.16771274266531,-0.572831423895259,3.80116959064326
20160111,-5.05046257359125,-3.77622857535014,-6.00929272070211,-4.8333792343707,-2.22624025313595,-0.458715596330282,-2.36729892662844,-2.494497432135,-4.33815350389321,-2.94464075382804,0.904522613065327,-3.68177613320998,-1.45583953413135,-4.08227848101265,-1.36020151133501,-4.49999999999999,-3.26664582682088,-3.35442106811829,4.84429065743945,-5.76855123674912,-4.49683042789223,-3.08098591549296,-0.203562340966921,-2.32098765432098,-3.03580695381422,-2.17687074829932,-2.93225480283115,-4.98310810810811,-1.69411764705882,-4,-3.88452840228815,1.12359550561798,-7.09348854128773,-2.87372202265819,-4.98633879781421,-2.37778762368926,-3.30864197530864,-3.94366197183097
20160112,-1.52353957216883,0.461207460149535,0.747006481379757,0.303863406164077,-1.17891816920943,1.42857142857144,2.71084337349397,-0.677200902934541,-0.546511627906977,0.424757281553405,0.946215139442231,2.28582404917403,-1.54300722258701,0.857802705377752,-1.4300306435138,2.21889803041635,0.177734690580065,1.64408585781702,4.95049504950495,-2.8124121121215,-0.477079444098737,2.99727520435967,0.101988781234064,2.64577013818671,-2.14075461600213,0.139082058414465,-2.98611111111111,-1.33333333333333,0.574437529918616,0.434027777777778,1.89619377162631,-1.27777777777778,-1.99686765857478,-0.0853485064011412,-2.08483105679367,2.49621785173978,0.357507660878451,-0.733137829912024
20160113,0.0674612098043625,-0.326569248062473,-0.228982662741243,1.8465089440277,0.736842105263153,-0.272603362108143,-0.38123167155426,0.45454545454545,0.713200046767216,-0.664652567975838,0.641341884558461,3.28638497652582,-0.800266755585187,-1.42296368989204,-2.07253886010363,1.46341463414634,-1.40322580645162,-1.67740002995356,-1.88679245283019,-0.144689881354297,-0.125052105043773,1.02292768959435,-0.178298522669384,0.246264981119694,-2.37899917965545,1.66666666666667,-1.03793843951325,-0.810810810810809,0.475963826749167,-2.85220397579948,-1.86090736212987,0.168823860438948,1.83779464642429,-0.0284738041002221,0.440528634361234,-1.10701107011069,-1.30619168787108,-2.4741506646972
20160114,-1.62247191011236,-0.238013271762485,1.68306010928962,-0.0424929178470271,0.0232207128758972,0.683371298405477,0.0883132175448959,-0.754147812971342,-1.74135128859995,0.54744525547446,0.490196078431373,-2.54545454545454,-0.672268907563025,-0.232288037166101,-0.687830687830694,1.3701923076923,0.278095861279248,-0.335110434120333,-0.641025641025641,-1.17851622874807,-0.81385642737896,0.576117318435766,-5.20540954325083,-1.49033737307567,-1.14845938375351,-1.63934426229508,-5.20795660036166,-2.13442325158947,-0.521080056845094,-1.69039145907474,-0.539792387543255,-0.196629213483143,-0.863083562181254,4.69951580746226,-2.33918128654971,-0.970149253731352,-0.773461670677219,-1.55244225672094
20160115,-4.15277079811778,-4.30814448139841,-6.20163370593294,-5.34221340512965,-5.66453859547302,-2.71493212669684,-4.51470588235293,-3.41945288753799,-4.89130434782609,-1.4519056261343,-0.24390243902439,-3.0223880597015,-1.92893401015228,-5.52137036421087,-1.6515716568993,-2.77448423049561,-1.46818923327896,-4.40165061898213,0,-5.76735092864125,-2.33536713654534,-5.62402360701267,-7.40242261103634,-4.40565253532834,-2.8336639274582,-5.41666666666666,-2.82334986646319,-4.45475638051044,0.761904761904759,-5.61085972850679,-3.28416365154465,0.394033211370666,-0.316580925999202,-4.18933623503808,-6.73652694610778,-7.27957799547852,-4.74623246145851,-3.00000000000001
20160118,0.672068636796945,0.874804148325012,-1.28337343875328,-0.703592814371256,0.504491202165634,4.65116279069767,3.74249191436931,1.73092053501182,2.98136645962733,0.675260896255365,1.71149144254279,-3.03963062716429,-1.10420979986197,0.211230417180062,0.758396533044423,0.195121951219515,2.98013245033113,-0.399680255795364,-2.90322580645161,3.11203319502075,-0.0430848772080975,2.90601434614676,1.74418604651163,1.11304347826087,2.39136774569846,-1.76211453744494,-0.431880643894776,1.50558523555123,-0.141776937618139,1.15052732502397,-0.143884892086335,-0.560695262125035,-0.357284636760622,-2.04429301533219,-5.37720706260032,0.780234070221071,0.545553737043102,0.713719270420311
20160119,1.7944226125657,1.42563931879957,0.615206035983751,-0.346751093019756,3.83202742409402,1.55555555555556,0.296912114014256,3.01624129930393,3.01568154402895,0.670731707317081,1.49038461538462,3.2936507936508,-0.279134682484303,4.23326892675216,0,1.26582278481012,1.12540192926045,1.10754414125201,-0.498338870431894,4.89939637826962,1.74568965517242,0.411081322609465,3.42857142857143,0.42999656002752,1.11079464540017,0.149476831091181,-0.946372239747628,2.58373205741628,-0.61523899668718,-0.284360189573457,0,-2.48096983366225,1.55378486055777,0.869565217391296,4.32569974554707,-0.677419354838707,2.18846084282873,2.59842519685039
